NAZWANIE;INFORMAZIA;ZENA;GOROD
Porsche Cayenne, 2008;4.8 л (500 л.с.), бензин, АКПП, 4WD, 180 тыс. км ;717 000 ₽;Челябинск
Porsche Panamera, 2020;3.0 л (330 л.с.), бензин, робот, 4WD, 12 тыс. км ;9 800 000 ₽;Томск
Porsche Cayenne, 2011;4.8 л (400 л.с.), бензин, АКПП, 4WD, 141 тыс. км ;1 890 000 ₽;Благовещенск
Porsche 911, 2020;3.0 л (450 л.с.), бензин, робот, 4WD, 11 тыс. км ;13 283 700 ₽;Москва
Porsche 911, 2020;3.0 л (450 л.с.), бензин, робот, 4WD, 5 тыс. км ;13 383 700 ₽;Москва
Porsche Cayenne, 2016;3.6 л, бензин, 4WD, 113 тыс. км ;3 948 000 ₽;Воронеж
Porsche Macan, 2014;3.0 л (340 л.с.), бензин, робот, 4WD, 91 тыс. км ;2 820 000 ₽;Сухой Лог
Porsche Panamera, 2014;3.6 л (310 л.с.), бензин, робот, 4WD, 90 тыс. км ;3 140 000 ₽;Санкт-Петербург
Porsche Cayenne, 2013;3.0 л (245 л.с.), дизель, АКПП, 4WD, 127 тыс. км ;2 850 000 ₽;Санкт-Петербург
Porsche Cayenne, 2015;3.0 л (245 л.с.), дизель, АКПП, 4WD, 91 тыс. км ;3 497 000 ₽;Москва
Porsche Cayenne, 2020;4.0 л (460 л.с.), бензин, АКПП, 4WD, 14 тыс. км ;10 997 000 ₽;Москва
Porsche Cayenne, 2003;4.5 л (340 л.с.), бензин, АКПП, 4WD, 245 тыс. км ;539 000 ₽;Муравленко
Porsche Cayenne, 2008;4.8 л (500 л.с.), бензин, АКПП, 4WD, 173 тыс. км ;1 199 000 ₽;Новосибирск
Porsche Cayenne, 2004;4.5 л (340 л.с.), бензин, АКПП, 4WD, 216 тыс. км ;800 000 ₽;Новосибирск
Porsche Cayenne Coupe, 2019;3.0 л (340 л.с.), бензин, АКПП, 4WD, 16 тыс. км ;9 860 000 ₽;Челябинск
Porsche Cayenne, 2006;4.5 л (500 л.с.), бензин, 4WD, 20 тыс. км ;550 000 ₽;Бийск
Porsche Cayenne, 2018;3.0 л (245 л.с.), дизель, АКПП, 4WD, 79 тыс. км ;4 940 000 ₽;Новосибирск
Porsche Cayenne, 2010;4.8 л (400 л.с.), бензин, АКПП, 4WD, 107 тыс. км ;1 955 000 ₽;Новосибирск
Porsche Macan, 2014;3.0 л (340 л.с.), бензин, робот, 4WD, 97 тыс. км ;2 750 000 ₽;Омск
Porsche Cayenne, 2019;3.0 л (340 л.с.), бензин, АКПП, 4WD, 30 тыс. км ;6 999 000 ₽;Новосибирск
Porsche Cayenne, 2008;4.8 л (500 л.с.), бензин, АКПП, 4WD, 180 тыс. км ;717 000 ₽;Челябинск
Porsche Panamera, 2020;3.0 л (330 л.с.), бензин, робот, 4WD, 12 тыс. км ;9 800 000 ₽;Томск
